Site_Name,site_code,Lat,Long,Campaign,location,Q source,DO,DO source,watershed,status,data_owner
Hourglass Outflow,HORO,40.5828742,-105.6309523,South Fork,Outflow,Greeley/DWR,no,,Hourglass Reservoir,Burned,ROSS
Hourglass Reservoir,HORR,40.582032,-105.6314023,South Fork,Reservoir,Greeley/DWR,no,,Hourglass Reservoir,Burned,ROSS
Joe Wright Inflow,JOEI,40.54013102,-105.8831698,Chambers Complex,Inflow,USGS,yes,RMRS,Joe Wright Reservoir,Unburned,ROSS
Joe Wright Reservoir,JOER,40.55593744,-105.8749619,Chambers Complex,Reservoir,,no,,Joe Wright Reservoir,Partially Burned,ROSS
Joe Wright Creek above the Poudre,JWC,40.61988,-105.81937,Mainstem,Mainstem,?,yes,RMRS,CLP Mainstem-Canyon,Partially Burned,ROSS
Little Beaver Creek,LBEA,40.624819,-105.532595,Tributary,Stream,RMRS,no,,CLP Tributary,Burned,RMRS
Poudre at Legacy Park,legacy,40.6006194,-105.0860344,Mainstem,Mainstem,FC,yes,ROSS,CLP  Mainstem-Fort Collins,Partially Burned,ROSS
Long Draw Outflow,LNGO,40.50368571,-105.7709459,Longdraw,Outflow,DNR,no,,Long Draw Reservoir,Unburned,ROSS
Long Draw Reservoir,LNGR,40.50087627,-105.7725307,Longdraw,Reservoir,?,no,,Long Draw Reservoir,Unburned,ROSS
Laramie River Tunnel,LRT,40.66791689,-105.8075443,Mainstem,Mainstem,DNR,no,,CLP Mainstem-Canyon,Partially Burned,RMRS
North Joe Wright Creek,NJOE,40.57291676,-105.863055,Tributary,Stream,RMRS,no,,CLP Tributary,Burned,RMRS
Poudre below Bellvue Diversion,PBD,40.663976,-105.215337,Mainstem,Mainstem,DWR,yes,RMRS,CLP Mainstem-Canyon,Partially Burned,ROSS
Poudre at Rustic,PBR,40.700221,-105.544028,Mainstem,Mainstem,FC,yes,FC,CLP Mainstem-Canyon,Partially Burned,ROSS
Pennock Creek,PENN,40.57855879,-105.5441506,Tributary,Stream,RMRS,no,,CLP Tributary,Partially Burned,RMRS
Poudre above Joe Wright Creek,PJW,40.634114,-105.807264,Mainstem,Mainstem,?,yes,RMRS,CLP Mainstem-Canyon,Partially Burned,ROSS
Poudre above the North Fork,PNF,40.702459,-105.241588,Mainstem,Mainstem,FC?,yes,RMRS,CLP Mainstem-Canyon,Partially Burned,ROSS
North Fork of the Poudre,PONO,40.81355942,-105.710882,Tributary,Stream,RMRS,no,,CLP Tributary,Unburned,RMRS
Poudre below the South Fork,PSF,40.694953,-105.448748,Mainstem,Mainstem,?,yes,RMRS,CLP Mainstem-Canyon,Partially Burned,ROSS
Peterson Outflow,PTRO,40.56063874,-105.7929021,Longdraw,Outflow,Greeley/DNR,no,,Peterson Reservoir,Burned,ROSS
Peterson Reservoir,PTRR,40.55936515,-105.7940034,Longdraw,Reservoir,Greeley/DNR,no,,Peterson Reservoir,Burned,ROSS
Roaring Creek,ROAR,40.71825826,-105.7392645,Tributary,Stream,RMRS,no,,CLP Tributary,Burned,RMRS
Sawmill Creek,SAWM,40.581377,-105.856229,Tributary,Stream,RMRS,no,,CLP Tributary,Partially Burned,ROSS
Sevenmile Creek,SEVN,40.70582545,-105.5877759,Tributary,Stream,RMRS,no,,CLP Tributary,Burned,RMRS
South Fork of the Poudre,SFM,40.61825,-105.525583,South Fork,Mainstem,Larimer County,yes,RMRS,CLP Mainstem-Canyon,Partially Burned,ROSS
Sheep Creek,SHEP,40.69487299,-105.6256411,Tributary,Stream,RMRS,no,,CLP Tributary,Burned,RMRS
Sleeping Elephant,SLEP,40.682439,-105.771986,Mainstem,Mainstem,RMRS,no,,CLP Mainstem-Canyon,Partially Burned,ROSS
South Lone Pine Creek,SOLP,40.78860289,-105.6011062,Tributary,Stream,RMRS,no,,CLP Tributary,Unburned,
Timberline,timberline,40.5754289,-105.0333903,Mainstem,Mainstem,?,yes,ROSS,CLP  Mainstem-Fort Collins,Partially Burned,ROSS
Long Draw Road Tributary 1,LDRT1,40.530046,-105.794982,Tributary,Stream,,no,,CLP Tributary,Burned,RMRS
Poudre below Poudre Falls,PFAL,40.651785,-105.810831,Mainstem,Stream,Larimer County,no,,CLP Mainstem-Canyon,Partially Burned,ROSS
,,,,,,,,,,,
,", ",,,,,,,,,,
